"model","variable","label","x","estimate"
"Partially linear FE","log_wage","Log wages",2.99994770038879,-0.0158782366370875
"Partially linear FE","log_wage","Log wages",3.00710547168865,-0.0183210422735625
"Partially linear FE","log_wage","Log wages",3.01426324298851,-0.0207638479100375
"Partially linear FE","log_wage","Log wages",3.02142101428837,-0.0232066535465125
"Partially linear FE","log_wage","Log wages",3.02857878558824,-0.0256494591829874
"Partially linear FE","log_wage","Log wages",3.0357365568881,-0.0280922648194626
"Partially linear FE","log_wage","Log wages",3.04289432818796,-0.0305350704559375
"Partially linear FE","log_wage","Log wages",3.05005209948782,-0.0329778760924125
"Partially linear FE","log_wage","Log wages",3.05720987078769,-0.0354206817288875
"Partially linear FE","log_wage","Log wages",3.06436764208755,-0.0378634873653624
"Partially linear FE","log_wage","Log wages",3.07152541338741,-0.0403062930018376
"Partially linear FE","log_wage","Log wages",3.07868318468727,-0.0427490986383124
"Partially linear FE","log_wage","Log wages",3.08584095598713,-0.0451919042747875
"Partially linear FE","log_wage","Log wages",3.092998727287,-0.0476347099112625
"Partially linear FE","log_wage","Log wages",3.10015649858686,-0.0500775155477374
"Partially linear FE","log_wage","Log wages",3.10731426988672,-0.0525203211842124
"Partially linear FE","log_wage","Log wages",3.11447204118658,-0.0549631268206874
"Partially linear FE","log_wage","Log wages",3.12162981248644,-0.0574059324571625
"Partially linear FE","log_wage","Log wages",3.12878758378631,-0.0598487380936375
"Partially linear FE","log_wage","Log wages",3.13594535508617,-0.0622915437301125
"Partially linear FE","log_wage","Log wages",3.14310312638603,-0.0647343493665874
"Partially linear FE","log_wage","Log wages",3.15026089768589,-0.0671771550030624
"Partially linear FE","log_wage","Log wages",3.15741866898576,-0.0696199606395375
"Partially linear FE","log_wage","Log wages",3.16457644028562,-0.0720627662760125
"Partially linear FE","log_wage","Log wages",3.17173421158548,-0.0745055719124875
"Partially linear FE","log_wage","Log wages",3.17889198288534,-0.0769483775489624
"Partially linear FE","log_wage","Log wages",3.1860497541852,-0.0793911831854374
"Partially linear FE","log_wage","Log wages",3.19320752548507,-0.0818339888219125
"Partially linear FE","log_wage","Log wages",3.20036529678493,-0.0842767944583873
"Partially linear FE","log_wage","Log wages",3.20752306808479,-0.0867196000948625
"Partially linear FE","log_wage","Log wages",3.21468083938465,-0.0891624057313374
"Partially linear FE","log_wage","Log wages",3.22183861068451,-0.0916052113678124
"Partially linear FE","log_wage","Log wages",3.22899638198438,-0.0940480170042874
"Partially linear FE","log_wage","Log wages",3.23615415328424,-0.0964908226407624
"Partially linear FE","log_wage","Log wages",3.2433119245841,-0.0989336282772375
"Partially linear FE","log_wage","Log wages",3.25046969588396,-0.101376433913712
"Partially linear FE","log_wage","Log wages",3.25762746718383,-0.103819239550187
"Partially linear FE","log_wage","Log wages",3.26478523848369,-0.106262045186662
"Partially linear FE","log_wage","Log wages",3.27194300978355,-0.108704850823137
"Partially linear FE","log_wage","Log wages",3.27910078108341,-0.111147656459612
"Partially linear FE","log_wage","Log wages",3.28625855238327,-0.113590462096087
"Partially linear FE","log_wage","Log wages",3.29341632368314,-0.116033267732562
"Partially linear FE","log_wage","Log wages",3.300574094983,-0.118476073369037
"Partially linear FE","log_wage","Log wages",3.30773186628286,-0.120918879005512
"Partially linear FE","log_wage","Log wages",3.31488963758272,-0.123361684641988
"Partially linear FE","log_wage","Log wages",3.32204740888258,-0.125804490278462
"Partially linear FE","log_wage","Log wages",3.32920518018245,-0.128247295914937
"Partially linear FE","log_wage","Log wages",3.33636295148231,-0.130690101551412
"Partially linear FE","log_wage","Log wages",3.34352072278217,-0.133132907187887
"Partially linear FE","log_wage","Log wages",3.35067849408203,-0.135575712824362
"Partially linear FE","log_wage","Log wages",3.3578362653819,-0.138018518460837
"Partially linear FE","log_wage","Log wages",3.36499403668176,-0.140461324097312
"Partially linear FE","log_wage","Log wages",3.37215180798162,-0.142904129733787
"Partially linear FE","log_wage","Log wages",3.37930957928148,-0.145346935370262
"Partially linear FE","log_wage","Log wages",3.38646735058134,-0.147789741006737
"Partially linear FE","log_wage","Log wages",3.39362512188121,-0.150232546643212
"Partially linear FE","log_wage","Log wages",3.40078289318107,-0.152675352279687
"Partially linear FE","log_wage","Log wages",3.40794066448093,-0.155118157916162
"Partially linear FE","log_wage","Log wages",3.41509843578079,-0.157560963552637
"Partially linear FE","log_wage","Log wages",3.42225620708065,-0.160003769189112
"Partially linear FE","log_wage","Log wages",3.42941397838052,-0.162446574825587
"Partially linear FE","log_wage","Log wages",3.43657174968038,-0.164889380462062
"Partially linear FE","log_wage","Log wages",3.44372952098024,-0.167332186098537
"Partially linear FE","log_wage","Log wages",3.4508872922801,-0.169774991735012
"Partially linear FE","log_wage","Log wages",3.45804506357997,-0.172217797371487
"Partially linear FE","log_wage","Log wages",3.46520283487983,-0.174660603007962
"Partially linear FE","log_wage","Log wages",3.47236060617969,-0.177103408644437
"Partially linear FE","log_wage","Log wages",3.47951837747955,-0.179546214280912
"Partially linear FE","log_wage","Log wages",3.48667614877941,-0.181989019917387
"Partially linear FE","log_wage","Log wages",3.49383392007928,-0.184431825553862
"Partially linear FE","log_wage","Log wages",3.50099169137914,-0.186874631190337
"Partially linear FE","log_wage","Log wages",3.508149462679,-0.189317436826812
"Partially linear FE","log_wage","Log wages",3.51530723397886,-0.191760242463287
"Partially linear FE","log_wage","Log wages",3.52246500527872,-0.194203048099762
"Partially linear FE","log_wage","Log wages",3.52962277657859,-0.196645853736237
"Partially linear FE","log_wage","Log wages",3.53678054787845,-0.199088659372712
"Partially linear FE","log_wage","Log wages",3.54393831917831,-0.201531465009187
"Partially linear FE","log_wage","Log wages",3.55109609047817,-0.203974270645662
"Partially linear FE","log_wage","Log wages",3.55825386177803,-0.206417076282137
"Partially linear FE","log_wage","Log wages",3.5654116330779,-0.208859881918612
"Partially linear FE","log_wage","Log wages",3.57256940437776,-0.211302687555087
"Partially linear FE","log_wage","Log wages",3.57972717567762,-0.213745493191562
"Partially linear FE","log_wage","Log wages",3.58688494697748,-0.216188298828037
"Partially linear FE","log_wage","Log wages",3.59404271827735,-0.218631104464512
"Additive GAM FE","log_wage","Log wages",2.31280165560202,0.26183987263891
"Additive GAM FE","log_wage","Log wages",2.31995942690189,0.259964693235758
"Additive GAM FE","log_wage","Log wages",2.32711719820175,0.258080550099477
"Additive GAM FE","log_wage","Log wages",2.33427496950161,0.256187174081464
"Additive GAM FE","log_wage","Log wages",2.34143274080147,0.254284296033115
"Additive GAM FE","log_wage","Log wages",2.34859051210133,0.252371646805826
"Additive GAM FE","log_wage","Log wages",2.3557482834012,0.250448957250994
"Additive GAM FE","log_wage","Log wages",2.36290605470106,0.248515958220015
"Additive GAM FE","log_wage","Log wages",2.37006382600092,0.246572380564285
"Additive GAM FE","log_wage","Log wages",2.37722159730078,0.244617955135201
"Additive GAM FE","log_wage","Log wages",2.38437936860064,0.242652412784159
"Additive GAM FE","log_wage","Log wages",2.39153713990051,0.240675484362556
"Additive GAM FE","log_wage","Log wages",2.39869491120037,0.23868661685217
"Additive GAM FE","log_wage","Log wages",2.40585268250023,0.236683247019357
"Additive GAM FE","log_wage","Log wages",2.41301045380009,0.234661943875857
"Additive GAM FE","log_wage","Log wages",2.42016822509996,0.232619273003956
"Additive GAM FE","log_wage","Log wages",2.42732599639982,0.230551799985938
"Additive GAM FE","log_wage","Log wages",2.43448376769968,0.228456090404088
"Additive GAM FE","log_wage","Log wages",2.44164153899954,0.226328709840692
"Additive GAM FE","log_wage","Log wages",2.4487993102994,0.224166223878033
"Additive GAM FE","log_wage","Log wages",2.45595708159927,0.221965198098398
"Additive GAM FE","log_wage","Log wages",2.46311485289913,0.219722198084069
"Additive GAM FE","log_wage","Log wages",2.47027262419899,0.217433789417334
"Additive GAM FE","log_wage","Log wages",2.47743039549885,0.215096537680475
"Additive GAM FE","log_wage","Log wages",2.48458816679871,0.21270700845578
"Additive GAM FE","log_wage","Log wages",2.49174593809858,0.210261767325531
"Additive GAM FE","log_wage","Log wages",2.49890370939844,0.207757379872014
"Additive GAM FE","log_wage","Log wages",2.5060614806983,0.205190411677514
"Additive GAM FE","log_wage","Log wages",2.51321925199816,0.202557428324315
"Additive GAM FE","log_wage","Log wages",2.52037702329803,0.199854995394703
"Additive GAM FE","log_wage","Log wages",2.52753479459789,0.197079678470963
"Additive GAM FE","log_wage","Log wages",2.53469256589775,0.194228043135378
"Additive GAM FE","log_wage","Log wages",2.54185033719761,0.191296654970235
"Additive GAM FE","log_wage","Log wages",2.54900810849747,0.188282079557818
"Additive GAM FE","log_wage","Log wages",2.55616587979734,0.185180882480411
"Additive GAM FE","log_wage","Log wages",2.5633236510972,0.181989629320301
"Additive GAM FE","log_wage","Log wages",2.57048142239706,0.17870488565977
