"model","method","se_type","x","point_coverage","df_correction"
"pl","bam_fe","classic",0.509183673469388,1,"substantive"
"np","bam_re","classic",0.509183673469388,1,"substantive"
"pl","bam_re","classic",0.509183673469388,1,"substantive"
"np","bam_fd","penalty",0.509183673469388,0.944,"substantive"
"pl","bam_fd","penalty",0.509183673469388,0.946,"substantive"
"np","bam_fe","penalty",0.509183673469388,0.926,"substantive"
"pl","bam_fe","penalty",0.509183673469388,0.939,"substantive"
"np","bam_re","penalty",0.509183673469388,0.923,"substantive"
"pl","bam_re","penalty",0.509183673469388,0.94,"substantive"
"np","bam_fd","classic",0.527551020408163,1,"substantive"
"pl","bam_fd","classic",0.527551020408163,1,"substantive"
"np","bam_fe","classic",0.527551020408163,1,"substantive"
"pl","bam_fe","classic",0.527551020408163,1,"substantive"
"np","bam_re","classic",0.527551020408163,1,"substantive"
"pl","bam_re","classic",0.527551020408163,1,"substantive"
"np","bam_fd","penalty",0.527551020408163,0.938,"substantive"
"pl","bam_fd","penalty",0.527551020408163,0.946,"substantive"
"np","bam_fe","penalty",0.527551020408163,0.937,"substantive"
"pl","bam_fe","penalty",0.527551020408163,0.944,"substantive"
"np","bam_re","penalty",0.527551020408163,0.935,"substantive"
"pl","bam_re","penalty",0.527551020408163,0.943,"substantive"
"np","bam_fd","classic",0.545918367346939,0.999,"substantive"
"pl","bam_fd","classic",0.545918367346939,1,"substantive"
"np","bam_fe","classic",0.545918367346939,1,"substantive"
"pl","bam_fe","classic",0.545918367346939,1,"substantive"
"np","bam_re","classic",0.545918367346939,1,"substantive"
"pl","bam_re","classic",0.545918367346939,1,"substantive"
"np","bam_fd","penalty",0.545918367346939,0.943,"substantive"
"pl","bam_fd","penalty",0.545918367346939,0.947,"substantive"
"np","bam_fe","penalty",0.545918367346939,0.951,"substantive"
"pl","bam_fe","penalty",0.545918367346939,0.947,"substantive"
"np","bam_re","penalty",0.545918367346939,0.948,"substantive"
"pl","bam_re","penalty",0.545918367346939,0.946,"substantive"
"np","bam_fd","classic",0.564285714285714,1,"substantive"
"pl","bam_fd","classic",0.564285714285714,1,"substantive"
"np","bam_fe","classic",0.564285714285714,1,"substantive"
"pl","bam_fe","classic",0.564285714285714,1,"substantive"
"np","bam_re","classic",0.564285714285714,1,"substantive"
"pl","bam_re","classic",0.564285714285714,1,"substantive"
"np","bam_fd","penalty",0.564285714285714,0.944,"substantive"
"pl","bam_fd","penalty",0.564285714285714,0.952,"substantive"
"np","bam_fe","penalty",0.564285714285714,0.944,"substantive"
"pl","bam_fe","penalty",0.564285714285714,0.952,"substantive"
"np","bam_re","penalty",0.564285714285714,0.944,"substantive"
"pl","bam_re","penalty",0.564285714285714,0.948,"substantive"
"np","bam_fd","classic",0.58265306122449,1,"substantive"
"pl","bam_fd","classic",0.58265306122449,1,"substantive"
"np","bam_fe","classic",0.58265306122449,1,"substantive"
"pl","bam_fe","classic",0.58265306122449,1,"substantive"
"np","bam_re","classic",0.58265306122449,1,"substantive"
"pl","bam_re","classic",0.58265306122449,1,"substantive"
"np","bam_fd","penalty",0.58265306122449,0.94,"substantive"
"pl","bam_fd","penalty",0.58265306122449,0.949,"substantive"
"np","bam_fe","penalty",0.58265306122449,0.941,"substantive"
"pl","bam_fe","penalty",0.58265306122449,0.948,"substantive"
"np","bam_re","penalty",0.58265306122449,0.94,"substantive"
"pl","bam_re","penalty",0.58265306122449,0.943,"substantive"
"np","bam_fd","classic",0.601020408163265,1,"substantive"
"pl","bam_fd","classic",0.601020408163265,0.999,"substantive"
"np","bam_fe","classic",0.601020408163265,1,"substantive"
"pl","bam_fe","classic",0.601020408163265,1,"substantive"
"np","bam_re","classic",0.601020408163265,1,"substantive"
"pl","bam_re","classic",0.601020408163265,1,"substantive"
"np","bam_fd","penalty",0.601020408163265,0.945,"substantive"
"pl","bam_fd","penalty",0.601020408163265,0.949,"substantive"
"np","bam_fe","penalty",0.601020408163265,0.942,"substantive"
"pl","bam_fe","penalty",0.601020408163265,0.946,"substantive"
"np","bam_re","penalty",0.601020408163265,0.94,"substantive"
"pl","bam_re","penalty",0.601020408163265,0.942,"substantive"
"np","bam_fd","classic",0.619387755102041,1,"substantive"
"pl","bam_fd","classic",0.619387755102041,1,"substantive"
"np","bam_fe","classic",0.619387755102041,1,"substantive"
"pl","bam_fe","classic",0.619387755102041,1,"substantive"
"np","bam_re","classic",0.619387755102041,1,"substantive"
"pl","bam_re","classic",0.619387755102041,1,"substantive"
"np","bam_fd","penalty",0.619387755102041,0.954,"substantive"
"pl","bam_fd","penalty",0.619387755102041,0.949,"substantive"
"np","bam_fe","penalty",0.619387755102041,0.947,"substantive"
"pl","bam_fe","penalty",0.619387755102041,0.95,"substantive"
"np","bam_re","penalty",0.619387755102041,0.947,"substantive"
"pl","bam_re","penalty",0.619387755102041,0.947,"substantive"
"np","bam_fd","classic",0.637755102040816,1,"substantive"
"pl","bam_fd","classic",0.637755102040816,1,"substantive"
"np","bam_fe","classic",0.637755102040816,1,"substantive"
"pl","bam_fe","classic",0.637755102040816,1,"substantive"
"np","bam_re","classic",0.637755102040816,1,"substantive"
"pl","bam_re","classic",0.637755102040816,1,"substantive"
"np","bam_fd","penalty",0.637755102040816,0.959,"substantive"
"pl","bam_fd","penalty",0.637755102040816,0.951,"substantive"
"np","bam_fe","penalty",0.637755102040816,0.95,"substantive"
"pl","bam_fe","penalty",0.637755102040816,0.953,"substantive"
"np","bam_re","penalty",0.637755102040816,0.951,"substantive"
"pl","bam_re","penalty",0.637755102040816,0.948,"substantive"
"np","bam_fd","classic",0.656122448979592,1,"substantive"
"pl","bam_fd","classic",0.656122448979592,1,"substantive"
"np","bam_fe","classic",0.656122448979592,1,"substantive"
"pl","bam_fe","classic",0.656122448979592,1,"substantive"
"np","bam_re","classic",0.656122448979592,1,"substantive"
"pl","bam_re","classic",0.656122448979592,1,"substantive"
"np","bam_fd","penalty",0.656122448979592,0.96,"substantive"
"pl","bam_fd","penalty",0.656122448979592,0.948,"substantive"
"np","bam_fe","penalty",0.656122448979592,0.954,"substantive"
"pl","bam_fe","penalty",0.656122448979592,0.956,"substantive"
"np","bam_re","penalty",0.656122448979592,0.952,"substantive"
"pl","bam_re","penalty",0.656122448979592,0.948,"substantive"
"np","bam_fd","classic",0.674489795918367,1,"substantive"
"pl","bam_fd","classic",0.674489795918367,1,"substantive"
"np","bam_fe","classic",0.674489795918367,1,"substantive"
"pl","bam_fe","classic",0.674489795918367,1,"substantive"
"np","bam_re","classic",0.674489795918367,1,"substantive"
"pl","bam_re","classic",0.674489795918367,1,"substantive"
"np","bam_fd","penalty",0.674489795918367,0.952,"substantive"
"pl","bam_fd","penalty",0.674489795918367,0.939,"substantive"
"np","bam_fe","penalty",0.674489795918367,0.953,"substantive"
"pl","bam_fe","penalty",0.674489795918367,0.957,"substantive"
"np","bam_re","penalty",0.674489795918367,0.946,"substantive"
"pl","bam_re","penalty",0.674489795918367,0.952,"substantive"
"np","bam_fd","classic",0.692857142857143,1,"substantive"
"pl","bam_fd","classic",0.692857142857143,1,"substantive"
"np","bam_fe","classic",0.692857142857143,0.999,"substantive"
"pl","bam_fe","classic",0.692857142857143,1,"substantive"
"np","bam_re","classic",0.692857142857143,0.999,"substantive"
"pl","bam_re","classic",0.692857142857143,1,"substantive"
"np","bam_fd","penalty",0.692857142857143,0.956,"substantive"
"pl","bam_fd","penalty",0.692857142857143,0.95,"substantive"
"np","bam_fe","penalty",0.692857142857143,0.954,"substantive"
"pl","bam_fe","penalty",0.692857142857143,0.945,"substantive"
"np","bam_re","penalty",0.692857142857143,0.943,"substantive"
"pl","bam_re","penalty",0.692857142857143,0.947,"substantive"
"np","bam_fd","classic",0.711224489795918,1,"substantive"
"pl","bam_fd","classic",0.711224489795918,1,"substantive"
"np","bam_fe","classic",0.711224489795918,1,"substantive"
"pl","bam_fe","classic",0.711224489795918,1,"substantive"
"np","bam_re","classic",0.711224489795918,1,"substantive"
"pl","bam_re","classic",0.711224489795918,1,"substantive"
"np","bam_fd","penalty",0.711224489795918,0.958,"substantive"
"pl","bam_fd","penalty",0.711224489795918,0.947,"substantive"
"np","bam_fe","penalty",0.711224489795918,0.955,"substantive"
"pl","bam_fe","penalty",0.711224489795918,0.953,"substantive"
"np","bam_re","penalty",0.711224489795918,0.945,"substantive"
"pl","bam_re","penalty",0.711224489795918,0.945,"substantive"
"np","bam_fd","classic",0.729591836734694,1,"substantive"
"pl","bam_fd","classic",0.729591836734694,1,"substantive"
"np","bam_fe","classic",0.729591836734694,1,"substantive"
"pl","bam_fe","classic",0.729591836734694,1,"substantive"
"np","bam_re","classic",0.729591836734694,1,"substantive"
"pl","bam_re","classic",0.729591836734694,1,"substantive"
