"model","method","vcov_type","x","point_coverage","mean_estimate","mean_reported_se","empirical_sd","truth","bias","se_to_sd","abs_bias","error_design","rho","df_correction","M","n","T","K","dgp"
"pl","bam_fd","penalty_cluster_delta",0.398979591836735,0.971,0.592070840262235,0.0301477949584386,0.0266182052424137,0.592960078525026,-0.000889238262791192,1.13260058985498,0.000889238262791192,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster_delta",0.41734693877551,0.972,0.496037359312965,0.030128588771597,0.0267396235453626,0.49629381256425,-0.000256453251285038,1.12673945167871,0.000256453251285038,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster_delta",0.435714285714286,0.968,0.392953293373737,0.0300476237154281,0.026985806653354,0.393025031653924,-7.17382801873057e-05,1.11346027567027,7.17382801873057e-05,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster_delta",0.454081632653061,0.971,0.284245592001064,0.0299620649904089,0.0269922676812065,0.284527586631033,-0.000281994629969196,1.11002400184665,0.000281994629969196,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster_delta",0.472448979591837,0.971,0.171684687803682,0.0300711106133417,0.0267641475822916,0.17224488860532,-0.000560200801637101,1.12355943789662,0.000560200801637101,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster_delta",0.490816326530612,0.971,0.0570761876906035,0.0301213447883082,0.0266892881244403,0.0576707063353748,-0.000594518644771336,1.12859303882013,0.000594518644771336,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster_delta",0.509183673469388,0.971,-0.0579898195388026,0.0303690230107589,0.0271330116175889,-0.0576707063353744,-0.000319113203428215,1.11926473326213,0.000319113203428215,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster_delta",0.527551020408163,0.967,-0.172164549238294,0.0307405307410215,0.0278565896286915,-0.172244888605319,8.03393670250618e-05,1.10352814722731,8.03393670250618e-05,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster_delta",0.545918367346939,0.969,-0.284170145500732,0.0309788292342018,0.0284693025718593,-0.284527586631032,0.000357441130300784,1.08814851210381,0.000357441130300784,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster_delta",0.564285714285714,0.964,-0.39261867204435,0.0313773890033953,0.0290206978678227,-0.393025031653923,0.000406359609573193,1.08120725236541,0.000406359609573193,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
