"sim","method","vcov_type","beta_hat","variance","se","t_stat","reject","beta_covered","delta_beta_variance","error_design","rho","df_correction","M","n","T","K","dgp","beta_true","beta_null"
4,"bam_fd","penalty_cluster_delta",0.965862183516357,0.000688219187897351,0.026233931994601,-1.30128478226859,0,1,1.17777727488692e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
4,"bam_fd","mgcv_sandwich_freq",0.965862183516357,0.000535061677322632,0.0231314002456106,-1.47582144276464,0,1,1.17777727488692e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
4,"bam_fd","mgcv_sandwich_default",0.965862183516357,0.000536239454597519,0.0231568446597873,-1.47419983098669,0,1,1.17777727488692e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
5,"bam_fe","classic_cluster",0.982755821195142,0.00059939727581854,0.024482591280715,-0.704344511867157,0,1,8.50240625184756e-07,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
5,"bam_fe","penalty_cluster",0.982755821195142,0.000593559897021264,0.0243630847189198,-0.707799484499057,0,1,8.50240625184756e-07,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
5,"bam_fe","penalty_cluster_delta",0.982755821195142,0.000594410137646448,0.0243805278377325,-0.707293087320709,0,1,8.50240625184756e-07,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
5,"bam_fe","mgcv_sandwich_freq",0.982755821195142,0.00072089188299117,0.0268494298448062,-0.642254934444875,0,1,8.50240625184756e-07,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
5,"bam_fe","mgcv_sandwich_default",0.982755821195142,0.000721742123616355,0.0268652586739148,-0.641876522171803,0,1,8.50240625184756e-07,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
5,"bam_re","classic_cluster",0.984565580039089,0.000602653767180539,0.0245490074581548,-0.628718696151759,0,1,3.18568428711434e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
5,"bam_re","penalty_cluster",0.984565580039089,0.000592282247026165,0.0243368495706853,-0.634199587587633,0,1,3.18568428711434e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
5,"bam_re","penalty_cluster_delta",0.984565580039089,0.000595467931313279,0.0244022116070097,-0.6325008654739,0,1,3.18568428711434e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
5,"bam_re","mgcv_sandwich_freq",0.984565580039089,0.000715925392612237,0.0267567821797061,-0.576841410048823,0,1,3.18568428711434e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
