"model","method","vcov_type","x","point_coverage","mean_estimate","mean_reported_se","empirical_sd","truth","bias","se_to_sd","abs_bias","error_design","rho","df_correction","M","n","T","K","dgp"
"pl","bam_fe","penalty_cluster",0.656122448979592,0.941,-0.826723678707935,0.0505513810025261,0.0522559865669127,-0.831024096513103,0.00430041780516877,0.967379707544057,0.00430041780516877,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fe","penalty_cluster",0.674489795918367,0.947,-0.885044963800913,0.0516512710863123,0.0535067242599154,-0.889546588018411,0.00450162421749867,0.965322990721876,0.00450162421749867,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fe","penalty_cluster",0.692857142857143,0.942,-0.931550029948578,0.0528246090854955,0.0548641535514586,-0.936234870639737,0.00468484069115882,0.962825554867075,0.00468484069115882,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fe","penalty_cluster",0.711224489795918,0.946,-0.965749062832832,0.054069911162398,0.0560936045617764,-0.970467820203915,0.00471875737108218,0.963922921067593,0.00471875737108218,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fe","penalty_cluster",0.729591836734694,0.952,-0.987208292765475,0.0553664920399232,0.0571573161004769,-0.991790013823246,0.00458172105777122,0.968668506803126,0.00458172105777122,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fe","penalty_cluster",0.747959183673469,0.951,-0.995484809013879,0.0567284487402951,0.0581790481259803,-0.999917788678319,0.00443297966444023,0.97506663597273,0.00443297966444023,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fe","penalty_cluster",0.766326530612245,0.945,-0.990247307669322,0.0582199960016834,0.0593322627468442,-0.994743015766457,0.00449570809713484,0.981253593008807,0.00449570809713484,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fe","penalty_cluster",0.78469387755102,0.944,-0.971494983160548,0.05997996607407,0.0608906179803594,-0.976334538411204,0.00483955525065582,0.985044462735078,0.00483955525065582,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fe","penalty_cluster",0.803061224489796,0.941,-0.939614883698001,0.0621956885518047,0.063195164140204,-0.944937256395429,0.0053223726974283,0.984184302675726,0.0053223726974283,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fe","penalty_cluster",0.821428571428571,0.939,-0.895191552253201,0.0649577057750494,0.0664087944199074,-0.900968867902419,0.00577731564921813,0.978149149408094,0.00577731564921813,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fe","penalty_cluster",0.839795918367347,0.94,-0.838812067354308,0.0681842977868646,0.0703463627361913,-0.845014312609002,0.00620224525469393,0.96926543370217,0.00620224525469393,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fe","penalty_cluster",0.858163265306122,0.939,-0.771081167110286,0.0716662461348419,0.0745669321161089,-0.777817989857798,0.0067368227475122,0.961099566537748,0.0067368227475122,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fe","penalty_cluster",0.876530612244898,0.942,-0.692857997437568,0.0751342273891414,0.0785736929485118,-0.700273855435255,0.00741585799768663,0.956226245320757,0.00741585799768663,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fe","penalty_cluster",0.894897959183673,0.936,-0.605545626481421,0.078343161656561,0.0818348728078678,-0.613413528704367,0.00786790222294587,0.957332234639081,0.00786790222294587,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fe","penalty_cluster",0.913265306122449,0.936,-0.511153602563974,0.0812111600322682,0.0838507021994513,-0.518392568310526,0.00723896574655136,0.968520929486022,0.00723896574655136,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fe","penalty_cluster",0.931632653061224,0.944,-0.412014632717115,0.0841909953189752,0.0848668767181751,-0.4164750990436,0.00446046632648461,0.992035981229233,0.00446046632648461,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fe","penalty_cluster",0.95,0.957,-0.31025440224543,0.0888532469478761,0.0871354959302654,-0.309016994374948,-0.00123740787048282,1.01971356218579,0.00123740787048282,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fe","penalty_cluster_delta",0.05,0.967,0.309714452086426,0.0732084498418511,0.0666905369010285,0.309016994374947,0.000697457711478555,1.0977337002174,0.000697457711478555,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fe","penalty_cluster_delta",0.0683673469387755,0.972,0.412460971691008,0.0734975397632873,0.0636826233472569,0.416475099043599,-0.00401412735259138,1.15412236337235,0.00401412735259138,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fe","penalty_cluster_delta",0.086734693877551,0.975,0.512142181448357,0.0714983475441035,0.0618939247297026,0.518392568310525,-0.00625038686216783,1.15517553388874,0.00625038686216783,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fe","penalty_cluster_delta",0.105102040816327,0.972,0.606625588482668,0.0690808311111366,0.060259916919484,0.613413528704367,-0.00678794022169826,1.14638112102675,0.00678794022169826,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fe","penalty_cluster_delta",0.123469387755102,0.971,0.693699077324578,0.0668922786795594,0.0585200059570669,0.700273855435255,-0.00657477811067697,1.14306684672306,0.00657477811067697,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fe","penalty_cluster_delta",0.141836734693878,0.975,0.771509842522783,0.0646164972614227,0.0568069867414566,0.777817989857797,-0.00630814733501428,1.13747447220725,0.00630814733501428,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fe","penalty_cluster_delta",0.160204081632653,0.973,0.838791363836566,0.0628136167368094,0.0552471479176082,0.845014312609001,-0.00622294877243534,1.13695673178433,0.00622294877243534,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fe","penalty_cluster_delta",0.178571428571429,0.97,0.894785447680068,0.0615193389531558,0.0538446987254645,0.900968867902419,-0.0061834202223513,1.14253288456161,0.0061834202223513,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fe","penalty_cluster_delta",0.196938775510204,0.972,0.93896198672031,0.060265720419934,0.0525401910471877,0.944937256395429,-0.0059752696751193,1.14704037459262,0.0059752696751193,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fe","penalty_cluster_delta",0.21530612244898,0.969,0.970757223979522,0.0592799787365178,0.0512124105840193,0.976334538411204,-0.00557731443168208,1.15753150575216,0.00557731443168208,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fe","penalty_cluster_delta",0.233673469387755,0.977,0.989557677858713,0.0584485114037519,0.0497102051454633,0.994743015766457,-0.00518533790774434,1.17578495668482,0.00518533790774434,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fe","penalty_cluster_delta",0.252040816326531,0.98,0.994927617426264,0.0574470698301023,0.0480446326279098,0.999917788678319,-0.00499017125205492,1.19570213545,0.00499017125205492,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fe","penalty_cluster_delta",0.270408163265306,0.979,0.986801841240227,0.0565545678821599,0.0465100692488014,0.991790013823246,-0.00498817258301976,1.21596395781796,0.00498817258301976,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fe","penalty_cluster_delta",0.288775510204082,0.983,0.965468544935927,0.0557059243391545,0.0454522389767406,0.970467820203915,-0.00499927526798827,1.22559252510445,0.00499927526798827,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fe","penalty_cluster_delta",0.307142857142857,0.986,0.931385804526046,0.0548130626841786,0.0449624651582051,0.936234870639737,-0.00484906611369151,1.21908490762936,0.00484906611369151,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fe","penalty_cluster_delta",0.325510204081633,0.985,0.885044291754558,0.0541150690490846,0.0448927169846763,0.889546588018412,-0.00450229626385401,1.20543091806086,0.00450229626385401,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fe","penalty_cluster_delta",0.343877551020408,0.979,0.827003044193331,0.0534547454310106,0.0450711166652516,0.831024096513104,-0.0040210523197729,1.18600889851532,0.0040210523197729,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fe","penalty_cluster_delta",0.362244897959184,0.981,0.758007457054408,0.0528777150063331,0.0453530061709624,0.761445958369135,-0.00343850131472645,1.16591422423037,0.00343850131472645,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fe","penalty_cluster_delta",0.380612244897959,0.981,0.678981919912399,0.0524852818175085,0.0455620058952161,0.681737816191,-0.00275589627860062,1.15195283408317,0.00275589627860062,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
