"model","method","vcov_type","x","point_coverage","mean_estimate","mean_reported_se","empirical_sd","truth","bias","se_to_sd","abs_bias","error_design","rho","df_correction","M","n","T","K","dgp","sample","error_label"
"np","bam_fd","mgcv_sandwich_default",0.233673469387755,0.967,0.99414490490546,0.0460212071606989,0.0432693623520286,0.994743015766457,-0.000598110860997925,1.06359799773063,0.000598110860997925,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi","n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"np","bam_fd","mgcv_sandwich_default",0.252040816326531,0.962,0.999931276676263,0.0450549043358989,0.0425609609184863,0.999917788678319,1.34879979435398e-05,1.05859697158128,1.34879979435398e-05,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi","n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"np","bam_fd","mgcv_sandwich_default",0.270408163265306,0.961,0.992220292719451,0.0442455611771149,0.0418696758574356,0.991790013823246,0.000430278896205172,1.05674477461371,0.000430278896205172,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi","n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"np","bam_fd","mgcv_sandwich_default",0.288775510204082,0.96,0.971202542256336,0.0434813465531197,0.041207560021997,0.970467820203915,0.000734722052420644,1.0551788683899,0.000734722052420644,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi","n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"np","bam_fd","mgcv_sandwich_default",0.307142857142857,0.961,0.937169149458747,0.0426853608193921,0.0405138796237067,0.936234870639737,0.000934278819009315,1.05359845109514,0.000934278819009315,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi","n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"np","bam_fd","mgcv_sandwich_default",0.325510204081633,0.96,0.890474988427675,0.0421414187713593,0.0398375202927743,0.889546588018412,0.000928400409263119,1.0578323766553,0.000928400409263119,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi","n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"np","bam_fd","mgcv_sandwich_default",0.343877551020408,0.959,0.831649064813706,0.0416202051519151,0.0393161065573976,0.831024096513104,0.000624968300601769,1.05860444474973,0.000624968300601769,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi","n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"np","bam_fd","mgcv_sandwich_default",0.362244897959184,0.96,0.761508629234059,0.0411669757798619,0.0390418260693256,0.761445958369135,6.26708649241747e-05,1.05443264120799,6.26708649241747e-05,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi","n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"np","bam_fd","mgcv_sandwich_default",0.380612244897959,0.958,0.681175872864069,0.0408733584577955,0.0389180346308054,0.681737816191,-0.000561943326931158,1.05024210100893,0.000561943326931158,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi","n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"np","bam_fd","mgcv_sandwich_default",0.398979591836735,0.952,0.591930384303622,0.0405252572546474,0.0387724385986493,0.592960078525026,-0.00102969422140431,1.04520785174599,0.00102969422140431,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi","n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"np","bam_fd","mgcv_sandwich_default",0.41734693877551,0.955,0.495039741178345,0.0403291794812348,0.0385834505228067,0.49629381256425,-0.00125407138590566,1.04524553752382,0.00125407138590566,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi","n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"np","bam_fd","mgcv_sandwich_default",0.435714285714286,0.963,0.391760044369011,0.0401975036037194,0.0383903755059288,0.393025031653924,-0.00126498728491342,1.04707242567897,0.00126498728491342,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi","n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"np","bam_fd","mgcv_sandwich_default",0.454081632653061,0.966,0.283451446889801,0.040025401085383,0.0382007034687581,0.284527586631033,-0.00107613974123155,1.04776607368284,0.00107613974123155,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi","n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"np","bam_fd","mgcv_sandwich_default",0.472448979591837,0.964,0.171620891734953,0.0399723840262351,0.0381057719536821,0.17224488860532,-0.000623996870366128,1.04898502187075,0.000623996870366128,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi","n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"np","bam_fd","mgcv_sandwich_default",0.490816326530612,0.957,0.0577975323591406,0.0398917876829129,0.0382688634147753,0.0576707063353748,0.000126826023765764,1.04240847841619,0.000126826023765764,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi","n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"np","bam_fd","mgcv_sandwich_default",0.509183673469388,0.954,-0.0566435173486168,0.0399536939405013,0.0387092962460877,-0.0576707063353744,0.00102718898675761,1.03214725699229,0.00102718898675761,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi","n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"np","bam_fd","mgcv_sandwich_default",0.527551020408163,0.951,-0.170445509174987,0.0401674059284619,0.0392617959952325,-0.172244888605319,0.00179937943033176,1.02306593242294,0.00179937943033176,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi","n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"np","bam_fd","mgcv_sandwich_default",0.545918367346939,0.956,-0.282269028672627,0.0403709637161629,0.039853539184837,-0.284527586631032,0.00225855795840496,1.01298315135642,0.00225855795840496,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi","n=200, T=4","Heteroskedastic AR(1), rho=0.5"
