"model","method","se_type","x","point_coverage","df_correction"
"np","bam_fd","penalty",0.490816326530612,0.948,"substantive"
"pl","bam_fd","penalty",0.490816326530612,0.953,"substantive"
"np","bam_fe","penalty",0.490816326530612,0.95,"substantive"
"pl","bam_fe","penalty",0.490816326530612,0.94,"substantive"
"np","bam_re","penalty",0.490816326530612,0.952,"substantive"
"pl","bam_re","penalty",0.490816326530612,0.941,"substantive"
"np","bam_fd","classic",0.509183673469388,0.997,"substantive"
"pl","bam_fd","classic",0.509183673469388,0.992,"substantive"
"np","bam_fe","classic",0.509183673469388,0.993,"substantive"
"pl","bam_fe","classic",0.509183673469388,0.994,"substantive"
"np","bam_re","classic",0.509183673469388,0.994,"substantive"
"pl","bam_re","classic",0.509183673469388,0.995,"substantive"
"np","bam_fd","penalty",0.509183673469388,0.95,"substantive"
"pl","bam_fd","penalty",0.509183673469388,0.95,"substantive"
"np","bam_fe","penalty",0.509183673469388,0.957,"substantive"
"pl","bam_fe","penalty",0.509183673469388,0.949,"substantive"
"np","bam_re","penalty",0.509183673469388,0.957,"substantive"
"pl","bam_re","penalty",0.509183673469388,0.948,"substantive"
"np","bam_fd","classic",0.527551020408163,0.995,"substantive"
"pl","bam_fd","classic",0.527551020408163,0.993,"substantive"
"np","bam_fe","classic",0.527551020408163,0.995,"substantive"
"pl","bam_fe","classic",0.527551020408163,0.997,"substantive"
"np","bam_re","classic",0.527551020408163,0.994,"substantive"
"pl","bam_re","classic",0.527551020408163,0.996,"substantive"
"np","bam_fd","penalty",0.527551020408163,0.952,"substantive"
"pl","bam_fd","penalty",0.527551020408163,0.953,"substantive"
"np","bam_fe","penalty",0.527551020408163,0.954,"substantive"
"pl","bam_fe","penalty",0.527551020408163,0.951,"substantive"
"np","bam_re","penalty",0.527551020408163,0.956,"substantive"
"pl","bam_re","penalty",0.527551020408163,0.946,"substantive"
"np","bam_fd","classic",0.545918367346939,0.992,"substantive"
"pl","bam_fd","classic",0.545918367346939,0.995,"substantive"
"np","bam_fe","classic",0.545918367346939,0.995,"substantive"
"pl","bam_fe","classic",0.545918367346939,0.998,"substantive"
"np","bam_re","classic",0.545918367346939,0.994,"substantive"
"pl","bam_re","classic",0.545918367346939,0.998,"substantive"
"np","bam_fd","penalty",0.545918367346939,0.95,"substantive"
"pl","bam_fd","penalty",0.545918367346939,0.957,"substantive"
"np","bam_fe","penalty",0.545918367346939,0.962,"substantive"
"pl","bam_fe","penalty",0.545918367346939,0.946,"substantive"
"np","bam_re","penalty",0.545918367346939,0.956,"substantive"
"pl","bam_re","penalty",0.545918367346939,0.943,"substantive"
"np","bam_fd","classic",0.564285714285714,0.992,"substantive"
"pl","bam_fd","classic",0.564285714285714,0.992,"substantive"
"np","bam_fe","classic",0.564285714285714,0.997,"substantive"
"pl","bam_fe","classic",0.564285714285714,0.998,"substantive"
"np","bam_re","classic",0.564285714285714,0.996,"substantive"
"pl","bam_re","classic",0.564285714285714,0.995,"substantive"
"np","bam_fd","penalty",0.564285714285714,0.941,"substantive"
"pl","bam_fd","penalty",0.564285714285714,0.945,"substantive"
"np","bam_fe","penalty",0.564285714285714,0.956,"substantive"
"pl","bam_fe","penalty",0.564285714285714,0.946,"substantive"
"np","bam_re","penalty",0.564285714285714,0.947,"substantive"
"pl","bam_re","penalty",0.564285714285714,0.942,"substantive"
"np","bam_fd","classic",0.58265306122449,0.995,"substantive"
"pl","bam_fd","classic",0.58265306122449,0.991,"substantive"
"np","bam_fe","classic",0.58265306122449,0.997,"substantive"
"pl","bam_fe","classic",0.58265306122449,0.997,"substantive"
"np","bam_re","classic",0.58265306122449,0.999,"substantive"
"pl","bam_re","classic",0.58265306122449,0.995,"substantive"
"np","bam_fd","penalty",0.58265306122449,0.938,"substantive"
"pl","bam_fd","penalty",0.58265306122449,0.944,"substantive"
"np","bam_fe","penalty",0.58265306122449,0.958,"substantive"
"pl","bam_fe","penalty",0.58265306122449,0.946,"substantive"
"np","bam_re","penalty",0.58265306122449,0.943,"substantive"
"pl","bam_re","penalty",0.58265306122449,0.935,"substantive"
"np","bam_fd","classic",0.601020408163265,0.993,"substantive"
"pl","bam_fd","classic",0.601020408163265,0.994,"substantive"
"np","bam_fe","classic",0.601020408163265,0.997,"substantive"
"pl","bam_fe","classic",0.601020408163265,0.998,"substantive"
"np","bam_re","classic",0.601020408163265,0.998,"substantive"
"pl","bam_re","classic",0.601020408163265,0.996,"substantive"
"np","bam_fd","penalty",0.601020408163265,0.941,"substantive"
"pl","bam_fd","penalty",0.601020408163265,0.939,"substantive"
"np","bam_fe","penalty",0.601020408163265,0.953,"substantive"
"pl","bam_fe","penalty",0.601020408163265,0.948,"substantive"
"np","bam_re","penalty",0.601020408163265,0.944,"substantive"
"pl","bam_re","penalty",0.601020408163265,0.94,"substantive"
"np","bam_fd","classic",0.619387755102041,0.992,"substantive"
"pl","bam_fd","classic",0.619387755102041,0.996,"substantive"
"np","bam_fe","classic",0.619387755102041,0.995,"substantive"
"pl","bam_fe","classic",0.619387755102041,0.998,"substantive"
"np","bam_re","classic",0.619387755102041,0.993,"substantive"
"pl","bam_re","classic",0.619387755102041,0.998,"substantive"
"np","bam_fd","penalty",0.619387755102041,0.942,"substantive"
"pl","bam_fd","penalty",0.619387755102041,0.937,"substantive"
"np","bam_fe","penalty",0.619387755102041,0.951,"substantive"
"pl","bam_fe","penalty",0.619387755102041,0.954,"substantive"
"np","bam_re","penalty",0.619387755102041,0.935,"substantive"
"pl","bam_re","penalty",0.619387755102041,0.936,"substantive"
"np","bam_fd","classic",0.637755102040816,0.99,"substantive"
"pl","bam_fd","classic",0.637755102040816,0.997,"substantive"
"np","bam_fe","classic",0.637755102040816,0.993,"substantive"
"pl","bam_fe","classic",0.637755102040816,0.997,"substantive"
"np","bam_re","classic",0.637755102040816,0.992,"substantive"
"pl","bam_re","classic",0.637755102040816,0.994,"substantive"
"np","bam_fd","penalty",0.637755102040816,0.941,"substantive"
"pl","bam_fd","penalty",0.637755102040816,0.936,"substantive"
"np","bam_fe","penalty",0.637755102040816,0.947,"substantive"
"pl","bam_fe","penalty",0.637755102040816,0.949,"substantive"
"np","bam_re","penalty",0.637755102040816,0.936,"substantive"
"pl","bam_re","penalty",0.637755102040816,0.931,"substantive"
"np","bam_fd","classic",0.656122448979592,0.992,"substantive"
"pl","bam_fd","classic",0.656122448979592,0.996,"substantive"
"np","bam_fe","classic",0.656122448979592,0.997,"substantive"
"pl","bam_fe","classic",0.656122448979592,0.997,"substantive"
"np","bam_re","classic",0.656122448979592,0.993,"substantive"
"pl","bam_re","classic",0.656122448979592,0.994,"substantive"
"np","bam_fd","penalty",0.656122448979592,0.945,"substantive"
"pl","bam_fd","penalty",0.656122448979592,0.939,"substantive"
"np","bam_fe","penalty",0.656122448979592,0.946,"substantive"
"pl","bam_fe","penalty",0.656122448979592,0.952,"substantive"
"np","bam_re","penalty",0.656122448979592,0.93,"substantive"
"pl","bam_re","penalty",0.656122448979592,0.928,"substantive"
"np","bam_fd","classic",0.674489795918367,0.998,"substantive"
"pl","bam_fd","classic",0.674489795918367,0.996,"substantive"
"np","bam_fe","classic",0.674489795918367,0.999,"substantive"
"pl","bam_fe","classic",0.674489795918367,0.998,"substantive"
"np","bam_re","classic",0.674489795918367,0.994,"substantive"
"pl","bam_re","classic",0.674489795918367,0.996,"substantive"
"np","bam_fd","penalty",0.674489795918367,0.948,"substantive"
"pl","bam_fd","penalty",0.674489795918367,0.942,"substantive"
"np","bam_fe","penalty",0.674489795918367,0.948,"substantive"
"pl","bam_fe","penalty",0.674489795918367,0.949,"substantive"
"np","bam_re","penalty",0.674489795918367,0.927,"substantive"
"pl","bam_re","penalty",0.674489795918367,0.931,"substantive"
"np","bam_fd","classic",0.692857142857143,0.994,"substantive"
"pl","bam_fd","classic",0.692857142857143,0.995,"substantive"
"np","bam_fe","classic",0.692857142857143,0.995,"substantive"
"pl","bam_fe","classic",0.692857142857143,0.995,"substantive"
