"sim","method","beta_hat","se_classic_cluster","t_classic_cluster","reject_classic_cluster","se_penalty_cluster","t_penalty_cluster","reject_penalty_cluster","p_boot","reject_wild_boot","boot_success","error_design","rho","df_correction"
555,"bam_fd",1.06792849492075,0.0262122227635861,2.59148167377517,1,0.0260671603569933,2.60590313599393,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
556,"bam_fe",1.09554784353131,0.0263817190580853,3.6217444102464,1,0.0260720822311579,3.66475691063621,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
556,"bam_re",1.10132584159269,0.0263639625989225,3.84334643217976,1,0.0257771035005003,3.93084667525669,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
556,"bam_fd",1.10673692893916,0.0244718232430055,4.36162552660102,1,0.0242372438650473,4.40383937767309,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
557,"bam_fe",1.04394904146004,0.0249744910700736,1.75975723936584,0,0.0247500942398518,1.77571208554326,0,NA,NA,NA,"hetero_ar1",0.5,"substantive"
557,"bam_re",1.04941500917617,0.0249982489952209,1.97673881821158,1,0.0245292538746827,2.0145337248588,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
557,"bam_fd",1.06893566591411,0.0246003157899279,2.80222686988162,1,0.0244033504648963,2.82484431854025,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
558,"bam_fe",1.11461524447962,0.0234010556428537,4.89786641375818,1,0.0230429972914045,4.97397291811396,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
558,"bam_re",1.11900145126807,0.0233337551755561,5.09996999508808,1,0.0227160194917492,5.23865773716606,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
558,"bam_fd",1.09780562749077,0.0231496885524419,4.22492195820283,1,0.0228946916561047,4.27197836773177,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
559,"bam_fe",1.04695954419925,0.0221360518566549,2.12140559225953,1,0.0219753299488249,2.13692100681135,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
559,"bam_re",1.04910027553981,0.0221218986569907,2.21953261341302,1,0.0217592366490234,2.25652564617942,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
559,"bam_fd",1.05778654489632,0.0207697004556572,2.782252205307,1,0.02071415020732,2.78971352036915,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
560,"bam_fe",1.06647457678454,0.0226002963415016,2.94131438721329,1,0.0224116230532971,2.96607597881061,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
560,"bam_re",1.06916441295604,0.0226131225673884,3.05859629734577,1,0.0222299371562609,3.11131842028444,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
